

=== Predictions on test data ===

 inst#     actual  predicted error prediction ()
   166        1:n        1:n       0.946 
   167        2:y        2:y       0.988 
   168        2:y        2:y       0.988 
   169        2:y        1:n   +   0.946 
   170        1:n        1:n       0.946 
   171        1:n        1:n       0.946 
   172        2:y        2:y       0.988 
   173        1:n        1:n       0.946 
   174        1:n        1:n       0.946 
   175        1:n        1:n       0.946 
   176        1:n        1:n       0.946 
   177        2:y        2:y       0.988 
   178        1:n        1:n       0.946 
   179        1:n        1:n       0.946 
   180        1:n        1:n       0.946 
   181        1:n        1:n       0.946 
   182        1:n        1:n       0.946 
   183        1:n        1:n       0.946 
   184        1:?        1:n       0.946 
   185        1:n        1:n       0.946 
   186        1:n        1:n       0.946 
   187        1:n        1:n       0.946 
   188        1:n        1:n       0.946 
   189        2:y        2:y       0.988 
   190        1:n        1:n       0.946 
   191        2:y        2:y       0.988 
   192        2:y        2:y       0.988 
   193        1:n        1:n       0.946 
   194        1:n        1:n       0.946 
   195        1:n        1:n       0.946 
   196        2:y        2:y       0.988 
   197        1:n        1:n       0.946 
   198        2:y        2:y       0.988 
   199        1:n        1:n       0.946 
   200        1:n        1:n       0.946 
   201        1:n        1:n       0.946 
   202        1:n        1:n       0.946 
   203        1:n        1:n       0.946 
   204        1:n        1:n       0.946 
   205        2:y        2:y       0.988 
   206        1:n        1:n       0.946 
   207        2:y        2:y       0.988 
   208        2:y        2:y       0.988 
   209        1:n        1:n       0.946 
   210        1:n        1:n       0.946 
   211        1:n        1:n       0.946 
   212        2:y        2:y       0.988 
   213        1:n        1:n       0.946 
   214        1:n        1:n       0.946 
   215        2:y        2:y       0.988 
   216        2:y        1:n   +   0.946 
   217        1:n        1:n       0.946 
   218        2:y        2:y       0.988 
   219        1:n        1:n       0.946 
   220        1:n        1:n       0.946 
   221        1:n        1:n       0.946 
   222        1:n        1:n       0.946 
   223        1:n        1:n       0.946 
   224        2:y        2:y       0.988 
   225        2:y        2:y       0.988 
   226        2:y        2:y       0.988 
   227        1:n        1:n       0.946 
   228        1:n        1:n       0.946 
   229        2:y        2:y       0.988 
   230        2:y        2:y       0.988 
   231        2:y        2:y       0.988 
   232        2:y        2:y       0.988 
   233        1:n        1:n       0.946 
   234        2:y        2:y       0.988 
   235        1:n        1:n       0.946 
   236        2:y        2:y       0.988 
   237        1:n        1:n       0.946 
   238        1:n        1:n       0.946 
   239        1:n        1:n       0.946 
   240        2:y        2:y       0.988 
   241        2:y        2:y       0.988 
   242        1:n        1:n       0.946 
   243        1:n        2:y   +   0.988 
   244        1:n        1:n       0.946 
   245        1:n        1:n       0.946 
   246        1:n        1:n       0.946 
   247        1:n        1:n       0.946 
   248        2:y        2:y       0.988 
   249        1:?        2:y   +   0.988 
   250        1:n        1:n       0.946 
   251        2:y        2:y       0.988 
   252        2:y        2:y       0.988 
   253        1:n        1:n       0.946 
   254        2:y        2:y       0.988 
   255        1:n        1:n       0.946 
   256        1:n        1:n       0.946 
   257        2:y        2:y       0.988 
   258        2:y        2:y       0.988 
   259        1:n        1:n       0.946 
   260        1:n        1:n       0.946 
   261        1:n        1:n       0.946 
   262        1:n        1:n       0.946 
   263        1:n        1:n       0.946 
   264        1:n        1:n       0.946 
   265        1:n        1:n       0.946 
   266        1:n        1:n       0.946 
   267        2:y        2:y       0.988 
   268        1:n        2:y   +   0.988 
   269        1:n        1:n       0.946 
   270        1:n        1:n       0.946 
   271        1:n        1:n       0.946 
   272        1:n        1:n       0.946 
   273        1:n        1:n       0.946 
   274        2:y        2:y       0.988 
   275        2:y        2:y       0.988 
   276        1:n        1:n       0.946 
   277        2:y        2:y       0.988 
   278        2:y        2:y       0.988 
   279        2:y        2:y       0.988 
   280        2:y        2:y       0.988 
   281        1:n        1:n       0.946 
   282        2:y        2:y       0.988 
   283        2:y        2:y       0.988 
   284        2:y        2:y       0.988 
   285        1:n        1:n       0.946 
   286        1:n        1:n       0.946 
   287        1:n        1:n       0.946 
   288        1:?        1:n       0.946 
   289        1:n        1:n       0.946 
   290        1:n        1:n       0.946 
   291        1:n        1:n       0.946 
   292        1:n        1:n       0.946 
   293        1:n        1:n       0.946 
   294        1:n        1:n       0.946 
   295        1:n        1:n       0.946 
   296        2:y        2:y       0.988 
   297        2:y        2:y       0.988 
   298        1:n        1:n       0.946 
   299        1:n        1:n       0.946 
   300        1:n        1:n       0.946 
   301        2:y        2:y       0.988 
   302        1:n        1:n       0.946 
   303        2:y        2:y       0.988 
   304        2:y        2:y       0.988 
   305        2:y        2:y       0.988 
   306        2:y        2:y       0.988 
   307        2:y        2:y       0.988 
   308        1:n        1:n       0.946 
   309        2:y        2:y       0.988 
   310        1:n        1:n       0.946 
   311        2:y        2:y       0.988 
   312        1:n        1:n       0.946 
   313        1:n        1:n       0.946 
   314        2:y        2:y       0.988 
   315        2:y        2:y       0.988 
   316        2:y        2:y       0.988 
   317        1:n        1:n       0.946 
   318        1:n        1:n       0.946 
   319        1:n        1:n       0.946 
   320        1:n        1:n       0.946 
   321        1:n        1:n       0.946 
   322        1:n        1:n       0.946 
   323        1:n        1:n       0.946 
   324        1:n        1:n       0.946 
   325        2:y        2:y       0.988 
   326        1:n        1:n       0.946 
   327        2:y        1:n   +   0.946 
   328        2:y        2:y       0.988 
   329        1:n        1:n       0.946 
   330        1:n        1:n       0.946 
   331        2:y        2:y       0.988 
   332        1:n        1:n       0.946 
   333        1:n        1:n       0.946 
   334        1:n        1:n       0.946 
   335        1:n        1:n       0.946 
   336        2:y        2:y       0.988 
   337        1:n        1:n       0.946 
   338        1:n        1:n       0.946 
   339        1:n        1:n       0.946 
   340        2:y        2:y       0.988 
   341        2:y        2:y       0.988 
   342        1:?        1:n       0.946 
   343        1:n        1:n       0.946 
   344        2:y        2:y       0.988 
   345        1:n        1:n       0.946 
   346        2:y        2:y       0.988 
   347        2:y        2:y       0.988 
   348        2:y        2:y       0.988 
   349        1:n        1:n       0.946 
   350        2:y        2:y       0.988 
   351        1:n        1:n       0.946 
   352        2:y        2:y       0.988 
   353        2:y        1:n   +   0.946 
   354        2:y        2:y       0.988 
   355        1:n        1:n       0.946 
   356        2:y        2:y       0.988 
   357        2:y        2:y       0.988 
   358        2:y        2:y       0.988 
   359        1:n        1:n       0.946 
   360        2:y        2:y       0.988 
   361        1:n        1:n       0.946 
   362        1:n        1:n       0.946 
   363        1:n        1:n       0.946 
   364        2:y        2:y       0.988 
   365        2:y        2:y       0.988 
   366        1:n        1:n       0.946 
   367        1:n        1:n       0.946 
   368        1:n        1:n       0.946 
   369        1:n        1:n       0.946 
   370        2:y        2:y       0.988 
   371        1:n        1:n       0.946 
   372        1:n        1:n       0.946 
   373        2:y        1:n   +   0.946 
   374        1:?        1:n       0.946 
   375        2:y        2:y       0.988 
   376        2:y        1:n   +   0.946 
   377        1:n        1:n       0.946 
   378        2:y        2:y       0.988 
   379        2:y        2:y       0.988 
   380        2:y        2:y       0.988 
   381        1:n        1:n       0.946 
   382        1:n        1:n       0.946 
   383        2:y        1:n   +   0.946 
   384        1:n        1:n       0.946 
   385        2:y        1:n   +   0.946 
   386        1:n        1:n       0.946 
   387        1:n        1:n       0.946 
   388        1:n        1:n       0.946 
   389        2:y        1:n   +   0.946 
   390        1:n        1:n       0.946 
   391        1:n        1:n       0.946 
   392        1:n        1:n       0.946 
   393        2:y        2:y       0.988 
   394        1:?        2:y   +   0.988 
   395        1:?        1:n       0.946 
   396        1:?        1:n       0.946 
   397        1:n        1:n       0.946 
   398        1:n        1:n       0.946 
   399        1:n        1:n       0.946 
   400        2:y        2:y       0.988 
   401        2:y        2:y       0.988 
   402        2:y        2:y       0.988 
   403        2:y        2:y       0.988 
   404        2:y        2:y       0.988 
   405        2:y        2:y       0.988 
   406        2:y        2:y       0.988 
   407        1:n        1:n       0.946 
   408        2:y        1:n   +   0.946 
   409        1:n        1:n       0.946 
   410        2:y        2:y       0.988 
   411        2:y        2:y       0.988 
   412        1:n        1:n       0.946 
   413        2:y        2:y       0.988 
   414        2:y        2:y       0.988 
   415        1:n        1:n       0.946 
   416        1:n        1:n       0.946 
   417        2:y        2:y       0.988 
   418        1:n        1:n       0.946 
   419        1:n        1:n       0.946 
   420        1:n        1:n       0.946 
   421        2:y        2:y       0.988 
   422        1:n        1:n       0.946 
   423        1:n        1:n       0.946 
   424        1:n        1:n       0.946 
   425        1:n        1:n       0.946 
   426        1:n        1:n       0.946 
   427        1:n        1:n       0.946 
   428        2:y        2:y       0.988 
   429        1:n        1:n       0.946 
   430        1:n        1:n       0.946 
   431        2:y        2:y       0.988 
   432        1:n        1:n       0.946 
   433        2:y        2:y       0.988 
   434        2:y        2:y       0.988 
   435        2:y        2:y       0.988 

