

=== Predictions on test data ===

 inst#     actual  predicted error prediction ()
    69        2:y        2:y       0.981 
    70        2:y        2:y       0.981 
    71        2:y        2:y       0.981 
    72        2:y        2:y       0.981 
    73        2:y        2:y       0.981 
    74        1:n        1:n       0.633 
    75        2:y        2:y       0.981 
    76        1:n        1:n       0.929 
    77        1:n        1:n       0.929 
    78        2:y        1:n   +   0.929 
    79        1:n        1:n       0.929 
    80        1:n        1:n       0.929 
    81        2:y        2:y       0.981 
    82        2:y        2:y       0.981 
    83        1:n        1:n       0.929 
    84        1:n        1:n       0.929 
    85        1:n        1:n       0.929 
    86        1:n        1:n       0.929 
    87        1:n        1:n       0.929 
    88        1:n        1:n       0.929 
    89        1:n        1:n       0.633 
    90        1:n        1:n       0.929 
    91        2:y        2:y       0.981 
    92        2:y        2:y       0.981 
    93        2:y        2:y       0.981 
    94        1:n        2:y   +   0.981 
    95        1:n        1:n       0.929 
    96        1:?        1:n       0.929 
    97        1:n        1:n       0.929 
    98        1:n        1:n       1 
    99        2:y        2:y       0.981 
   100        1:n        1:n       0.929 
   101        1:n        1:n       0.929 
   102        1:n        1:n       1 
   103        1:n        1:n       0.876 
   104        1:n        1:n       0.917 
   105        2:y        2:y       0.981 
   106        2:y        2:y       0.981 
   107        1:n        1:n       0.929 
   108        1:?        2:y   +   0.572 
   109        2:y        2:y       0.981 
   110        2:y        2:y       0.981 
   111        2:y        2:y       0.981 
   112        1:n        1:n       0.929 
   113        2:y        2:y       0.981 
   114        1:n        1:n       0.929 
   115        2:y        2:y       0.981 
   116        2:y        2:y       0.893 
   117        2:y        2:y       0.981 
   118        1:n        1:n       0.667 
   119        2:y        2:y       0.981 
   120        1:n        1:n       0.929 
   121        1:n        1:n       0.929 
   122        1:n        1:n       0.929 
   123        1:n        1:n       0.929 
   124        2:y        1:n   +   0.929 
   125        2:y        2:y       0.981 
   126        1:n        1:n       0.929 
   127        1:n        1:n       0.929 
   128        2:y        2:y       0.981 
   129        2:y        2:y       0.981 
   130        2:y        2:y       0.981 
   131        2:y        2:y       0.893 
   132        2:y        2:y       0.981 
   133        1:n        1:n       0.929 
   134        1:n        1:n       0.929 
   135        1:n        1:n       0.929 
   136        1:n        1:n       0.929 
   137        1:n        1:n       0.929 
   138        2:y        2:y       0.981 
   139        2:y        2:y       0.981 
   140        2:y        2:y       0.981 
   141        2:y        2:y       0.981 
   142        2:y        2:y       0.866 
   143        2:y        2:y       0.866 
   144        2:y        2:y       0.981 
   145        2:y        2:y       0.981 
   146        2:y        2:y       0.981 
   147        1:n        1:n       0.929 
   148        2:y        2:y       0.981 
   149        1:n        1:n       0.929 
   150        2:y        2:y       0.981 
   151        1:n        1:n       0.929 
   152        1:n        1:n       0.929 
   153        2:y        2:y       0.981 
   154        2:y        2:y       0.981 
   155        1:n        1:n       0.929 
   156        1:?        1:n       0.929 
   157        1:n        1:n       0.698 
   158        2:y        2:y       0.981 
   159        1:n        1:n       0.929 
   160        2:y        2:y       0.699 
   161        1:n        1:n       0.929 
   162        1:n        1:n       1 
   163        1:n        1:n       1 
   164        1:n        1:n       0.698 
   165        1:n        1:n       0.929 
   166        2:y        2:y       0.981 
   167        2:y        2:y       1 
   168        2:y        2:y       1 
   169        1:n        1:n       0.929 
   170        2:y        2:y       0.981 
   171        2:y        2:y       0.981 
   172        1:n        1:n       0.929 
   173        2:y        2:y       0.981 
   174        1:n        1:n       0.929 
   175        2:y        2:y       0.981 
   176        2:y        2:y       0.981 
   177        2:y        2:y       0.981 
   178        2:y        2:y       0.981 
   179        2:y        2:y       0.981 
   180        2:y        2:y       0.981 
   181        2:y        2:y       0.981 
   182        2:y        2:y       0.981 
   183        2:y        2:y       0.981 
   184        1:?        2:y   +   0.594 
   185        2:y        2:y       0.981 
   186        2:y        2:y       0.981 
   187        2:y        2:y       0.981 
   188        2:y        2:y       0.981 
   189        2:y        1:n   +   0.698 
   190        2:y        2:y       0.981 
   191        1:n        1:n       0.929 
   192        1:?        1:n       0.929 
   193        2:y        2:y       0.981 
   194        2:y        2:y       0.981 
   195        1:?        2:y   +   0.981 
   196        1:n        1:n       0.929 
   197        2:y        2:y       0.981 
   198        1:n        1:n       0.929 
   199        2:y        2:y       0.981 
   200        2:y        2:y       0.981 
   201        2:y        2:y       0.981 
   202        2:y        2:y       0.981 
   203        2:y        2:y       0.981 
   204        2:y        2:y       0.981 
   205        1:n        1:n       0.667 
   206        2:y        2:y       0.981 
   207        1:n        1:n       0.929 
   208        1:n        1:n       0.698 
   209        2:y        2:y       0.981 
   210        2:y        2:y       0.981 
   211        2:y        2:y       0.981 
   212        1:n        1:n       0.929 
   213        2:y        2:y       0.981 
   214        2:y        2:y       0.981 
   215        1:n        1:n       0.929 
   216        1:n        1:n       0.929 
   217        1:n        1:n       0.929 
   218        1:n        1:n       0.929 
   219        2:y        2:y       0.981 
   220        2:y        2:y       0.981 
   221        2:y        2:y       0.981 
   222        1:n        1:n       0.929 
   223        2:y        2:y       0.981 
   224        1:n        1:n       0.929 
   225        1:n        1:n       0.929 
   226        1:n        1:n       0.929 
   227        2:y        2:y       0.981 
   228        2:y        2:y       0.981 
   229        1:n        1:n       0.929 
   230        1:n        2:y   +   0.866 
   231        1:n        1:n       0.929 
   232        1:n        1:n       0.929 
   233        2:y        2:y       0.981 
   234        1:n        1:n       0.929 
   235        2:y        2:y       0.981 
   236        1:n        1:n       0.929 
   237        2:y        2:y       0.981 
   238        2:y        2:y       0.981 
   239        2:y        2:y       0.981 
   240        1:n        1:n       0.698 
   241        1:?        2:y   +   0.981 
   242        2:y        2:y       0.981 
   243        1:n        1:n       1 
   244        2:y        2:y       0.981 
   245        2:y        2:y       0.981 
   246        2:y        2:y       0.981 
   247        2:y        1:n   +   0.633 
   248        1:n        1:n       0.876 
   249        1:?        2:y   +   0.576 
   250        2:y        2:y       0.981 
   251        1:n        1:n       0.929 
   252        1:n        1:n       0.929 
   253        2:y        2:y       0.981 
   254        1:n        1:n       0.929 
   255        2:y        2:y       0.981 
   256        2:y        2:y       0.981 
   257        1:n        1:n       0.929 
   258        1:n        1:n       0.929 
   259        2:y        2:y       0.981 
   260        2:y        2:y       0.981 
   261        2:y        2:y       0.981 
   262        2:y        2:y       0.981 
   263        2:y        2:y       0.981 
   264        2:y        2:y       0.981 
   265        2:y        2:y       0.981 
   266        2:y        2:y       0.981 
   267        1:n        1:n       0.929 
   268        2:y        2:y       0.981 
   269        2:y        2:y       0.981 
   270        2:y        2:y       0.981 
   271        2:y        2:y       0.981 
   272        2:y        2:y       0.981 
   273        2:y        2:y       0.981 
   274        2:y        1:n   +   0.698 
   275        1:n        1:n       0.698 
   276        1:n        1:n       0.929 
   277        1:n        1:n       0.929 
   278        2:y        2:y       1 
   279        1:n        1:n       0.929 
   280        1:n        1:n       0.929 
   281        2:y        2:y       0.981 
   282        2:y        2:y       1 
   283        1:n        1:n       0.929 
   284        1:n        1:n       0.929 
   285        2:y        2:y       0.981 
   286        2:y        2:y       0.981 
   287        2:y        2:y       0.981 
   288        2:y        2:y       0.981 
   289        2:y        1:n   +   0.929 
   290        2:y        1:n   +   0.929 
   291        2:y        2:y       0.563 
   292        2:y        2:y       0.981 
   293        2:y        2:y       0.981 
   294        2:y        2:y       0.981 
   295        2:y        2:y       0.981 
   296        1:?        1:n       0.864 
   297        1:n        1:n       0.929 
   298        2:y        2:y       0.981 
   299        2:y        2:y       0.981 
   300        2:y        2:y       0.981 
   301        2:y        2:y       0.866 
   302        2:y        2:y       0.981 
   303        1:n        1:n       0.698 
   304        1:n        1:n       0.929 
   305        1:n        1:n       0.929 
   306        1:n        1:n       0.929 
   307        1:n        1:n       0.929 
   308        2:y        2:y       0.981 
   309        1:n        1:n       0.929 
   310        2:y        2:y       0.981 
   311        1:n        1:n       0.929 
   312        2:y        2:y       0.981 
   313        2:y        2:y       0.981 
   314        1:n        1:n       0.929 
   315        2:y        1:n   +   0.698 
   316        1:?        2:y   +   0.681 
   317        2:y        2:y       0.981 
   318        2:y        2:y       0.981 
   319        2:y        2:y       0.981 
   320        2:y        2:y       0.981 
   321        2:y        2:y       0.981 
   322        2:y        2:y       0.981 
   323        1:?        2:y   +   0.529 
   324        2:y        1:n   +   0.929 
   325        1:n        1:n       0.929 
   326        1:n        1:n       0.929 
   327        2:y        2:y       0.981 
   328        1:n        1:n       0.929 
   329        2:y        2:y       0.981 
   330        2:y        2:y       0.981 
   331        1:n        1:n       0.929 
   332        2:y        2:y       0.981 
   333        2:y        2:y       0.981 
   334        2:y        2:y       0.981 
   335        2:y        2:y       0.981 
   336        1:n        1:n       0.929 
   337        2:y        2:y       0.981 
   338        2:y        2:y       0.981 
   339        2:y        2:y       0.981 
   340        1:n        1:n       0.929 
   341        1:n        1:n       0.929 
   342        2:y        2:y       0.981 
   343        1:n        2:y   +   0.804 
   344        1:n        1:n       0.633 
   345        2:y        2:y       0.981 
   346        1:n        1:n       0.698 
   347        1:n        1:n       0.929 
   348        1:n        1:n       0.929 
   349        2:y        2:y       0.981 
   350        2:y        2:y       0.866 
   351        1:n        2:y   +   0.981 
   352        2:y        2:y       0.866 
   353        2:y        2:y       0.981 
   354        1:n        1:n       0.667 
   355        2:y        2:y       0.981 
   356        2:y        2:y       0.981 
   357        1:n        1:n       0.929 
   358        1:n        1:n       0.929 
   359        2:y        2:y       0.981 
   360        1:n        1:n       0.929 
   361        2:y        2:y       0.981 
   362        1:n        1:n       0.633 
   363        2:y        2:y       0.981 
   364        1:n        1:n       0.929 
   365        1:n        1:n       0.929 
   366        1:n        1:n       0.929 
   367        2:y        2:y       0.981 
   368        2:y        2:y       0.804 
   369        2:y        2:y       0.981 
   370        1:n        1:n       0.929 
   371        2:y        2:y       0.893 
   372        2:y        2:y       0.893 
   373        1:n        1:n       0.929 
   374        2:y        1:n   +   0.929 
   375        1:n        1:n       0.929 
   376        1:n        1:n       0.929 
   377        2:y        2:y       0.981 
   378        1:?        1:n       0.864 
   379        1:n        1:n       0.929 
   380        1:n        1:n       0.929 
   381        2:y        2:y       0.981 
   382        2:y        1:n   +   0.633 
   383        1:n        1:n       0.929 
   384        2:y        1:n   +   0.929 
   385        1:n        1:n       0.929 
   386        1:n        1:n       0.929 
   387        2:y        1:n   +   0.929 
   388        2:y        1:n   +   0.929 
   389        1:n        1:n       0.929 
   390        2:y        2:y       0.981 
   391        1:n        2:y   +   0.521 
   392        2:y        2:y       0.981 
   393        1:n        1:n       0.929 
   394        2:y        2:y       0.981 
   395        1:n        2:y   +   0.529 
   396        2:y        2:y       0.981 
   397        2:y        1:n   +   0.929 
   398        1:n        1:n       0.929 
   399        2:y        1:n   +   0.929 
   400        1:n        2:y   +   0.529 
   401        1:?        1:n       0.929 
   402        1:n        1:n       0.929 
   403        2:y        2:y       0.981 
   404        1:n        1:n       0.929 
   405        1:n        1:n       0.929 
   406        1:n        1:n       0.929 
   407        1:n        1:n       0.929 
   408        1:n        1:n       0.929 
   409        2:y        2:y       0.981 
   410        1:n        1:n       0.929 
   411        1:n        1:n       0.929 
   412        2:y        2:y       0.981 
   413        1:n        1:n       0.929 
   414        2:y        2:y       0.667 
   415        2:y        2:y       0.981 
   416        2:y        2:y       0.981 
   417        1:n        1:n       0.929 
   418        2:y        2:y       0.981 
   419        2:y        2:y       0.981 
   420        2:y        2:y       0.981 
   421        2:y        1:n   +   0.667 
   422        2:y        2:y       0.804 
   423        2:y        2:y       0.981 
   424        2:y        2:y       0.981 
   425        2:y        2:y       0.981 
   426        2:y        2:y       0.981 
   427        2:y        2:y       0.981 
   428        2:y        1:n   +   0.698 
   429        2:y        2:y       0.981 
   430        2:y        2:y       0.92 
   431        1:n        1:n       0.929 
   432        2:y        2:y       0.981 
   433        1:n        1:n       0.929 
   434        1:?        1:n       0.833 
   435        1:n        1:n       0.929 

