

=== Predictions on test data ===

 inst#     actual  predicted error prediction ()
   196        1:n        1:n       0.975 
   197        2:y        2:y       0.945 
   198        2:y        1:n   +   0.975 
   199        2:y        2:y       0.945 
   200        1:n        2:y   +   0.945 
   201        2:y        2:y       0.954 
   202        2:y        2:y       0.954 
   203        2:y        2:y       0.954 
   204        2:y        2:y       0.954 
   205        2:y        1:n   +   0.704 
   206        2:y        2:y       0.954 
   207        1:n        1:n       0.975 
   208        1:n        1:n       0.704 
   209        2:y        2:y       0.954 
   210        2:y        2:y       0.954 
   211        2:y        2:y       0.954 
   212        1:n        1:n       0.975 
   213        2:y        2:y       0.954 
   214        2:y        2:y       0.954 
   215        1:n        1:n       0.975 
   216        2:y        2:y       0.792 
   217        2:y        2:y       0.72 
   218        1:n        1:n       0.975 
   219        2:y        2:y       0.945 
   220        2:y        2:y       0.954 
   221        2:y        2:y       0.945 
   222        2:y        2:y       0.72 
   223        2:y        2:y       0.945 
   224        1:n        1:n       0.975 
   225        1:n        1:n       0.975 
   226        1:n        1:n       0.975 
   227        2:y        2:y       0.954 
   228        2:y        2:y       0.954 
   229        1:n        1:n       0.975 
   230        2:y        1:n   +   0.704 
   231        1:n        1:n       0.975 
   232        1:n        2:y   +   0.663 
   233        2:y        2:y       0.945 
   234        1:n        1:n       0.975 
   235        2:y        2:y       0.945 
   236        1:n        1:n       0.975 
   237        2:y        2:y       0.954 
   238        2:y        2:y       0.954 
   239        2:y        2:y       0.945 
   240        1:n        1:n       0.69 
   241        1:n        1:n       0.704 
   242        2:y        2:y       0.954 
   243        1:n        1:n       1 
   244        2:y        2:y       0.954 
   245        2:y        2:y       0.954 
   246        2:y        2:y       0.954 
   247        2:y        2:y       0.954 
   248        1:n        1:n       0.908 
   249        1:?        1:n       0.866 
   250        2:y        2:y       0.954 
   251        1:n        1:n       0.975 
   252        1:n        1:n       0.975 
   253        2:y        2:y       0.954 
   254        1:n        1:n       0.975 
   255        2:y        2:y       0.954 
   256        2:y        2:y       0.954 
   257        1:n        1:n       0.975 
   258        1:n        1:n       0.975 
   259        2:y        2:y       0.954 
   260        2:y        2:y       0.954 
   261        2:y        2:y       0.954 
   262        2:y        2:y       0.945 
   263        2:y        2:y       0.954 
   264        2:y        2:y       0.945 
   265        2:y        2:y       0.945 
   266        2:y        2:y       0.954 
   267        1:n        1:n       0.975 
   268        1:n        1:n       1 
   269        2:y        2:y       0.945 
   270        2:y        2:y       0.954 
   271        2:y        2:y       0.954 
   272        2:y        2:y       0.954 
   273        2:y        2:y       0.945 
   274        1:n        1:n       0.704 
   275        1:n        1:n       0.69 
   276        2:y        2:y       0.72 
   277        1:n        1:n       0.975 
   278        2:y        2:y       0.85 
   279        1:n        1:n       0.975 
   280        1:n        1:n       0.975 
   281        2:y        2:y       0.954 
   282        2:y        2:y       0.85 
   283        1:n        1:n       0.975 
   284        1:n        1:n       0.975 
   285        2:y        2:y       0.954 
   286        2:y        2:y       0.954 
   287        2:y        2:y       0.945 
   288        2:y        2:y       0.954 
   289        2:y        2:y       0.954 
   290        2:y        2:y       0.945 
   291        2:y        2:y       0.954 
   292        2:y        2:y       0.954 
   293        2:y        2:y       0.954 
   294        2:y        2:y       0.954 
   295        2:y        2:y       0.945 
   296        1:n        1:n       0.892 
   297        2:y        1:n   +   0.975 
   298        2:y        2:y       0.945 
   299        1:n        2:y   +   0.954 
   300        2:y        2:y       0.954 
   301        1:n        1:n       0.704 
   302        1:?        2:y   +   0.954 
   303        1:n        1:n       0.704 
   304        1:n        1:n       0.975 
   305        1:n        1:n       0.975 
   306        1:n        1:n       0.975 
   307        1:n        1:n       0.975 
   308        2:y        2:y       0.945 
   309        1:n        1:n       0.975 
   310        1:n        2:y   +   0.954 
   311        1:n        1:n       0.975 
   312        2:y        2:y       0.954 
   313        2:y        2:y       0.954 
   314        2:y        1:n   +   0.975 
   315        1:n        1:n       0.704 
   316        2:y        2:y       0.638 
   317        1:n        1:n       0.697 
   318        1:n        2:y   +   0.954 
   319        2:y        2:y       0.945 
   320        2:y        2:y       0.945 
   321        2:y        2:y       0.954 
   322        2:y        2:y       0.954 
   323        2:y        2:y       0.908 
   324        2:y        2:y       0.945 
   325        1:n        1:n       0.975 
   326        1:n        1:n       1 
   327        1:n        2:y   +   0.954 
   328        1:n        1:n       0.975 
   329        2:y        2:y       0.954 
   330        2:y        2:y       0.945 
   331        1:n        1:n       0.975 
   332        2:y        2:y       0.945 
   333        2:y        2:y       0.945 
   334        2:y        2:y       0.954 
   335        2:y        2:y       0.954 
   336        1:n        1:n       0.975 
   337        2:y        2:y       0.954 
   338        2:y        2:y       0.954 
   339        2:y        2:y       0.954 
   340        1:n        1:n       0.975 
   341        1:n        1:n       0.975 
   342        2:y        2:y       0.954 
   343        2:y        2:y       0.72 
   344        1:n        1:n       0.69 
   345        2:y        2:y       0.954 
   346        1:n        2:y   +   0.721 
   347        1:n        1:n       0.975 
   348        1:n        1:n       0.975 
   349        2:y        2:y       0.945 
   350        2:y        1:n   +   0.704 
   351        1:n        2:y   +   0.72 
   352        2:y        1:n   +   0.704 
   353        1:n        2:y   +   0.945 
   354        2:y        1:n   +   0.704 
   355        2:y        2:y       0.954 
   356        2:y        2:y       0.663 
   357        1:n        1:n       0.975 
   358        1:n        1:n       0.975 
   359        2:y        2:y       0.945 
   360        1:n        1:n       0.975 
   361        2:y        2:y       0.954 
   362        2:y        2:y       0.72 
   363        2:y        2:y       0.954 
   364        1:n        1:n       0.975 
   365        1:n        1:n       0.975 
   366        1:n        2:y   +   0.72 
   367        2:y        2:y       0.945 
   368        2:y        2:y       0.945 
   369        2:y        2:y       0.954 
   370        1:n        1:n       0.975 
   371        2:y        2:y       0.954 
   372        2:y        2:y       0.945 
   373        2:y        2:y       0.659 
   374        2:y        2:y       0.954 
   375        1:n        1:n       0.975 
   376        1:n        1:n       0.939 
   377        2:y        2:y       0.954 
   378        1:n        1:n       0.884 
   379        1:n        1:n       0.975 
   380        1:n        1:n       0.975 
   381        2:y        2:y       0.954 
   382        2:y        2:y       0.945 
   383        1:n        2:y   +   0.72 
   384        2:y        2:y       0.954 
   385        2:y        2:y       0.792 
   386        1:n        1:n       0.811 
   387        2:y        2:y       0.945 
   388        2:y        2:y       0.945 
   389        2:y        2:y       0.792 
   390        2:y        2:y       0.945 
   391        1:n        1:n       0.939 
   392        1:n        1:n       0.697 
   393        1:n        1:n       0.975 
   394        1:?        2:y   +   0.663 
   395        1:?        2:y   +   0.72 
   396        2:y        2:y       0.954 
   397        2:y        2:y       0.954 
   398        1:n        2:y   +   0.72 
   399        2:y        2:y       0.954 
   400        1:n        1:n       0.975 
   401        1:n        1:n       0.975 
   402        1:n        1:n       0.975 
   403        2:y        2:y       0.721 
   404        1:n        1:n       0.975 
   405        1:n        1:n       0.975 
   406        1:n        1:n       0.975 
   407        2:y        2:y       0.72 
   408        1:n        2:y   +   0.792 
   409        2:y        2:y       0.954 
   410        1:n        1:n       0.975 
   411        1:n        1:n       0.975 
   412        2:y        2:y       0.954 
   413        1:n        1:n       0.975 
   414        2:y        2:y       0.512 
   415        2:y        2:y       0.954 
   416        2:y        2:y       0.954 
   417        1:n        1:n       0.975 
   418        2:y        2:y       0.954 
   419        2:y        2:y       0.954 
   420        2:y        2:y       0.954 
   421        2:y        2:y       0.85 
   422        2:y        2:y       0.954 
   423        2:y        2:y       0.954 
   424        2:y        2:y       0.954 
   425        2:y        2:y       0.954 
   426        2:y        2:y       0.945 
   427        2:y        2:y       0.954 
   428        1:n        1:n       0.704 
   429        1:?        2:y   +   0.954 
   430        2:y        2:y       0.954 
   431        2:y        2:y       0.663 
   432        2:y        2:y       0.954 
   433        1:n        1:n       0.975 
   434        1:n        1:n       0.897 
   435        1:n        1:n       0.975 

