

=== Predictions on test data ===

 inst#     actual  predicted error prediction ()
   226        2:y        2:y       0.998 
   227        1:n        1:n       0.979 
   228        1:n        1:n       0.979 
   229        2:y        2:y       0.998 
   230        2:y        2:y       0.998 
   231        2:y        2:y       0.998 
   232        2:y        2:y       0.998 
   233        1:n        1:n       0.979 
   234        2:y        2:y       0.998 
   235        1:n        1:n       0.979 
   236        2:y        2:y       0.998 
   237        1:n        1:n       0.979 
   238        1:n        1:n       0.979 
   239        1:n        1:n       0.979 
   240        2:y        2:y       0.998 
   241        1:n        2:y   +   0.832 
   242        1:n        1:n       0.979 
   243        2:y        2:y       0.998 
   244        1:n        1:n       0.979 
   245        1:n        1:n       1 
   246        1:n        1:n       0.979 
   247        2:y        1:n   +   0.979 
   248        2:y        2:y       0.998 
   249        1:?        2:y   +   0.844 
   250        1:n        1:n       0.979 
   251        2:y        2:y       0.998 
   252        2:y        2:y       0.998 
   253        1:n        1:n       0.979 
   254        2:y        2:y       0.998 
   255        1:n        1:n       0.979 
   256        1:n        1:n       0.979 
   257        2:y        2:y       0.998 
   258        2:y        2:y       0.998 
   259        1:n        1:n       0.979 
   260        1:n        1:n       0.979 
   261        1:n        1:n       0.979 
   262        1:n        1:n       0.979 
   263        1:n        1:n       0.979 
   264        1:n        1:n       0.979 
   265        1:n        1:n       0.979 
   266        1:n        1:n       0.979 
   267        2:y        2:y       0.998 
   268        1:n        1:n       1 
   269        1:n        1:n       0.979 
   270        1:n        1:n       0.979 
   271        1:n        1:n       0.979 
   272        1:n        1:n       0.979 
   273        1:n        1:n       0.979 
   274        2:y        2:y       1 
   275        2:y        2:y       0.998 
   276        2:y        2:y       0.998 
   277        2:y        2:y       0.998 
   278        2:y        2:y       1 
   279        2:y        2:y       0.998 
   280        2:y        2:y       0.998 
   281        1:n        1:n       0.979 
   282        2:y        2:y       1 
   283        2:y        2:y       0.998 
   284        2:y        2:y       0.998 
   285        1:n        1:n       0.979 
   286        1:n        1:n       0.979 
   287        1:n        1:n       0.939 
   288        1:n        1:n       0.979 
   289        2:y        2:y       0.842 
   290        2:y        2:y       0.842 
   291        1:?        1:n       0.882 
   292        1:n        1:n       0.979 
   293        1:n        1:n       0.979 
   294        1:n        1:n       0.979 
   295        1:n        1:n       0.979 
   296        2:y        2:y       0.999 
   297        2:y        2:y       0.998 
   298        1:n        1:n       0.979 
   299        1:n        1:n       0.979 
   300        1:n        1:n       0.979 
   301        2:y        2:y       0.709 
   302        1:n        1:n       0.979 
   303        2:y        2:y       0.998 
   304        2:y        2:y       0.998 
   305        2:y        2:y       0.998 
   306        2:y        2:y       0.998 
   307        2:y        2:y       0.998 
   308        1:n        1:n       0.979 
   309        2:y        2:y       0.998 
   310        1:n        1:n       0.979 
   311        2:y        2:y       0.998 
   312        1:n        1:n       0.979 
   313        1:n        1:n       0.979 
   314        2:y        2:y       0.998 
   315        2:y        2:y       1 
   316        2:y        2:y       0.999 
   317        1:n        1:n       0.859 
   318        1:n        1:n       0.979 
   319        1:n        1:n       0.979 
   320        1:n        1:n       0.979 
   321        1:n        1:n       0.859 
   322        1:n        1:n       0.979 
   323        1:?        2:y   +   0.908 
   324        2:y        2:y       0.842 
   325        2:y        2:y       0.998 
   326        2:y        2:y       0.998 
   327        1:n        1:n       0.979 
   328        2:y        2:y       0.998 
   329        1:n        1:n       0.979 
   330        1:n        1:n       0.979 
   331        2:y        2:y       0.998 
   332        1:n        1:n       0.979 
   333        1:n        1:n       0.979 
   334        1:n        1:n       0.979 
   335        1:n        1:n       0.979 
   336        2:y        2:y       0.998 
   337        1:n        1:n       0.979 
   338        1:n        1:n       0.979 
   339        1:n        1:n       0.979 
   340        2:y        2:y       0.998 
   341        2:y        2:y       0.998 
   342        1:n        1:n       0.979 
   343        2:y        2:y       1 
   344        2:y        2:y       0.998 
   345        1:n        1:n       0.979 
   346        2:y        2:y       0.998 
   347        2:y        2:y       0.998 
   348        2:y        2:y       0.998 
   349        1:n        1:n       0.979 
   350        2:y        2:y       0.709 
   351        1:n        1:n       0.998 
   352        2:y        2:y       0.709 
   353        1:n        1:n       0.979 
   354        2:y        2:y       0.998 
   355        1:n        1:n       0.979 
   356        1:n        1:n       1 
   357        2:y        2:y       0.998 
   358        2:y        2:y       0.998 
   359        1:n        1:n       0.979 
   360        2:y        2:y       0.998 
   361        1:n        1:n       0.979 
   362        2:y        2:y       0.998 
   363        1:n        1:n       0.979 
   364        2:y        2:y       1 
   365        2:y        2:y       0.998 
   366        2:y        2:y       0.998 
   367        1:n        1:n       0.979 
   368        2:y        1:n   +   0.979 
   369        1:n        1:n       0.979 
   370        2:y        2:y       0.998 
   371        1:?        1:n       0.979 
   372        1:?        1:n       0.979 
   373        2:y        2:y       0.998 
   374        2:y        2:y       0.742 
   375        2:y        2:y       0.998 
   376        2:y        2:y       0.998 
   377        1:n        1:n       0.979 
   378        2:y        2:y       0.999 
   379        2:y        2:y       0.998 
   380        2:y        2:y       0.998 
   381        1:n        1:n       0.882 
   382        2:y        1:n   +   0.979 
   383        2:y        2:y       0.998 
   384        2:y        2:y       0.842 
   385        2:y        2:y       0.998 
   386        2:y        2:y       0.998 
   387        2:y        2:y       0.742 
   388        2:y        2:y       0.842 
   389        2:y        2:y       0.998 
   390        1:n        1:n       0.979 
   391        1:?        2:y   +   0.998 
   392        1:n        1:n       1 
   393        2:y        2:y       0.998 
   394        1:n        2:y   +   0.709 
   395        1:?        2:y   +   1 
   396        1:n        1:n       1 
   397        2:y        2:y       0.842 
   398        2:y        2:y       0.998 
   399        2:y        2:y       0.742 
   400        1:?        2:y   +   0.998 
   401        2:y        2:y       0.999 
   402        2:y        2:y       0.998 
   403        1:n        2:y   +   0.709 
   404        2:y        2:y       0.998 
   405        2:y        2:y       0.998 
   406        2:y        2:y       0.998 
   407        2:y        2:y       0.998 
   408        2:y        2:y       0.998 
   409        1:n        1:n       0.979 
   410        2:y        2:y       0.998 
   411        2:y        2:y       0.998 
   412        1:n        1:n       0.979 
   413        2:y        2:y       0.998 
   414        2:y        2:y       1 
   415        1:n        1:n       0.979 
   416        1:n        1:n       0.979 
   417        2:y        2:y       0.998 
   418        1:n        1:n       0.979 
   419        1:n        1:n       0.979 
   420        1:n        1:n       0.979 
   421        2:y        2:y       1 
   422        2:y        1:n   +   0.979 
   423        1:n        1:n       0.979 
   424        1:n        1:n       0.979 
   425        1:n        1:n       0.979 
   426        1:n        1:n       0.979 
   427        1:n        1:n       0.979 
   428        2:y        2:y       1 
   429        1:n        1:n       0.979 
   430        1:?        1:n       0.979 
   431        2:y        2:y       0.998 
   432        1:n        1:n       0.979 
   433        2:y        2:y       0.998 
   434        2:y        2:y       0.92 
   435        2:y        2:y       0.998 

