

=== Predictions on test data ===

 inst#     actual  predicted error prediction ()
   153        1:n        2:y   +   0.667 
   154        2:y        2:y       0.694 
   155        2:y        2:y       0.981 
   156        2:y        2:y       0.981 
   157        2:y        2:y       0.981 
   158        1:?        1:n       0.763 
   159        2:y        2:y       0.981 
   160        1:?        1:n       1 
   161        2:y        2:y       0.886 
   162        2:y        2:y       0.886 
   163        2:y        2:y       0.886 
   164        2:y        2:y       0.981 
   165        2:y        2:y       0.886 
   166        1:n        2:y   +   0.667 
   167        2:y        2:y       0.981 
   168        2:y        2:y       0.981 
   169        2:y        2:y       0.886 
   170        2:y        1:n   +   0.89 
   171        1:n        1:n       0.89 
   172        2:y        2:y       0.981 
   173        1:n        1:n       0.89 
   174        2:y        2:y       0.886 
   175        1:n        1:n       0.89 
   176        1:n        1:n       0.89 
   177        2:y        2:y       0.981 
   178        1:n        1:n       0.89 
   179        1:n        1:n       0.89 
   180        1:n        1:n       0.89 
   181        1:n        1:n       0.89 
   182        1:n        1:n       0.89 
   183        1:n        1:n       0.89 
   184        1:?        1:n       0.65 
   185        1:n        1:n       0.89 
   186        1:n        1:n       0.89 
   187        1:n        1:n       0.89 
   188        1:n        1:n       0.89 
   189        2:y        2:y       0.981 
   190        1:n        1:n       0.89 
   191        2:y        2:y       0.981 
   192        2:y        2:y       0.981 
   193        2:y        2:y       0.792 
   194        1:n        1:n       0.89 
   195        1:n        1:n       0.807 
   196        2:y        2:y       0.981 
   197        2:y        2:y       0.733 
   198        2:y        2:y       0.981 
   199        1:n        1:n       0.89 
   200        1:n        1:n       0.89 
   201        2:y        1:n   +   0.89 
   202        1:n        1:n       0.89 
   203        1:n        1:n       0.771 
   204        1:n        1:n       0.89 
   205        2:y        2:y       0.981 
   206        1:n        2:y   +   0.845 
   207        2:y        2:y       0.981 
   208        2:y        2:y       0.981 
   209        1:n        1:n       0.89 
   210        1:n        1:n       0.89 
   211        1:n        1:n       0.771 
   212        2:y        2:y       0.981 
   213        1:n        1:n       0.89 
   214        1:n        1:n       1 
   215        2:y        2:y       0.981 
   216        2:y        2:y       0.886 
   217        2:y        2:y       0.886 
   218        2:y        2:y       0.981 
   219        1:n        1:n       0.89 
   220        2:y        1:n   +   0.89 
   221        1:n        1:n       0.89 
   222        1:n        2:y   +   0.886 
   223        1:n        1:n       0.89 
   224        2:y        2:y       0.981 
   225        2:y        2:y       0.981 
   226        2:y        2:y       0.981 
   227        2:y        1:n   +   0.771 
   228        1:n        1:n       0.89 
   229        1:?        2:y   +   0.981 
   230        2:y        2:y       0.981 
   231        2:y        2:y       0.981 
   232        2:y        2:y       0.981 
   233        1:n        1:n       0.89 
   234        2:y        2:y       0.981 
   235        2:y        2:y       0.733 
   236        2:y        2:y       0.981 
   237        1:n        1:n       0.89 
   238        1:n        2:y   +   0.694 
   239        1:n        1:n       0.89 
   240        2:y        2:y       0.981 
   241        2:y        2:y       0.981 
   242        2:y        1:n   +   0.89 
   243        2:y        2:y       0.981 
   244        1:n        1:n       0.89 
   245        1:n        1:n       0.89 
   246        1:n        1:n       0.89 
   247        2:y        1:n   +   0.89 
   248        2:y        2:y       0.981 
   249        1:?        2:y   +   0.981 
   250        1:n        1:n       0.89 
   251        2:y        2:y       0.981 
   252        2:y        2:y       0.981 
   253        1:n        1:n       0.771 
   254        2:y        2:y       0.981 
   255        1:n        1:n       0.89 
   256        2:y        1:n   +   0.89 
   257        2:y        2:y       0.981 
   258        2:y        2:y       0.981 
   259        1:n        1:n       0.89 
   260        1:n        1:n       0.89 
   261        1:n        1:n       0.89 
   262        1:?        1:n       0.766 
   263        1:n        1:n       0.89 
   264        1:n        1:n       0.89 
   265        1:n        1:n       0.89 
   266        1:n        1:n       0.89 
   267        2:y        2:y       0.981 
   268        2:y        2:y       0.981 
   269        1:n        1:n       0.89 
   270        1:n        1:n       0.89 
   271        1:n        1:n       0.89 
   272        1:n        1:n       1 
   273        1:n        1:n       0.89 
   274        2:y        2:y       0.981 
   275        2:y        2:y       0.981 
   276        2:y        2:y       0.886 
   277        2:y        2:y       0.981 
   278        2:y        2:y       0.981 
   279        2:y        2:y       0.981 
   280        2:y        2:y       0.981 
   281        2:y        1:n   +   0.89 
   282        2:y        2:y       0.981 
   283        2:y        2:y       0.981 
   284        2:y        2:y       0.981 
   285        1:n        1:n       0.806 
   286        1:n        1:n       0.771 
   287        2:y        2:y       0.733 
   288        1:n        1:n       0.688 
   289        2:y        2:y       0.667 
   290        2:y        2:y       0.694 
   291        2:y        2:y       0.694 
   292        2:y        2:y       0.845 
   293        2:y        2:y       0.667 
   294        2:y        2:y       0.667 
   295        2:y        2:y       0.694 
   296        1:?        2:y   +   0.981 
   297        2:y        2:y       0.981 
   298        1:n        1:n       0.626 
   299        1:n        1:n       0.89 
   300        2:y        2:y       0.667 
   301        2:y        2:y       0.981 
   302        1:n        1:n       0.734 
   303        2:y        2:y       0.981 
   304        2:y        2:y       0.981 
   305        2:y        2:y       0.981 
   306        2:y        2:y       0.981 
   307        2:y        2:y       0.981 
   308        2:y        2:y       0.845 
   309        2:y        2:y       0.981 
   310        2:y        2:y       0.792 
   311        2:y        2:y       0.981 
   312        1:n        2:y   +   0.694 
   313        1:n        1:n       0.89 
   314        2:y        2:y       0.981 
   315        2:y        2:y       0.981 
   316        1:?        2:y   +   0.981 
   317        2:y        2:y       0.792 
   318        1:n        1:n       0.89 
   319        1:n        1:n       0.89 
   320        1:n        1:n       0.89 
   321        2:y        2:y       0.694 
   322        1:n        1:n       0.89 
   323        2:y        2:y       0.72 
   324        2:y        2:y       0.694 
   325        2:y        2:y       0.981 
   326        2:y        2:y       0.886 
   327        2:y        1:n   +   0.89 
   328        2:y        2:y       0.981 
   329        1:n        1:n       0.89 
   330        1:n        1:n       0.771 
   331        2:y        2:y       0.981 
   332        1:n        1:n       0.89 
   333        1:n        1:n       0.89 
   334        1:n        1:n       0.89 
   335        1:n        2:y   +   0.733 
   336        2:y        2:y       0.981 
   337        2:y        1:n   +   0.806 
   338        1:n        1:n       0.89 
   339        2:y        1:n   +   0.89 
   340        2:y        2:y       0.981 
   341        2:y        2:y       0.981 
   342        1:?        1:n       0.626 
   343        1:n        2:y   +   0.886 
   344        2:y        2:y       0.981 
   345        1:n        1:n       0.89 
   346        2:y        2:y       0.981 
   347        2:y        2:y       0.981 
   348        2:y        2:y       0.981 
   349        1:n        1:n       0.89 
   350        2:y        2:y       0.981 
   351        1:n        1:n       0.974 
   352        2:y        2:y       0.981 
   353        1:n        2:y   +   0.792 
   354        2:y        2:y       0.981 
   355        1:n        1:n       0.703 
   356        2:y        2:y       0.981 
   357        2:y        2:y       0.981 
   358        2:y        2:y       0.981 
   359        2:y        2:y       0.694 
   360        2:y        2:y       0.981 
   361        1:n        2:y   +   0.694 
   362        2:y        2:y       0.886 
   363        1:n        2:y   +   0.694 
   364        1:n        2:y   +   0.981 
   365        2:y        2:y       0.981 
   366        2:y        2:y       0.886 
   367        1:n        1:n       0.89 
   368        1:n        1:n       0.771 
   369        1:n        1:n       0.771 
   370        2:y        2:y       0.981 
   371        1:n        1:n       0.703 
   372        1:n        1:n       0.89 
   373        2:y        2:y       0.886 
   374        2:y        2:y       0.679 
   375        2:y        2:y       0.981 
   376        2:y        2:y       0.886 
   377        1:n        1:n       0.89 
   378        1:?        2:y   +   0.981 
   379        2:y        2:y       0.981 
   380        2:y        2:y       0.981 
   381        1:n        1:n       1 
   382        2:y        2:y       0.694 
   383        2:y        2:y       0.886 
   384        1:n        1:n       1 
   385        2:y        2:y       0.886 
   386        2:y        2:y       0.886 
   387        1:n        1:n       0.915 
   388        2:y        2:y       1 
   389        2:y        2:y       0.886 
   390        1:n        1:n       0.89 
   391        2:y        2:y       0.842 
   392        1:n        1:n       0.89 
   393        2:y        2:y       0.981 
   394        1:n        2:y   +   0.981 
   395        1:n        2:y   +   0.842 
   396        1:n        1:n       0.89 
   397        1:n        1:n       1 
   398        2:y        2:y       0.886 
   399        1:n        1:n       1 
   400        2:y        2:y       0.981 
   401        2:y        2:y       0.981 
   402        2:y        2:y       0.981 
   403        2:y        2:y       0.981 
   404        2:y        2:y       0.981 
   405        2:y        2:y       0.981 
   406        2:y        2:y       0.981 
   407        2:y        2:y       0.886 
   408        2:y        2:y       0.886 
   409        2:y        2:y       0.733 
   410        2:y        2:y       0.981 
   411        2:y        2:y       0.981 
   412        1:n        1:n       0.848 
   413        2:y        2:y       0.981 
   414        2:y        2:y       0.981 
   415        1:n        1:n       0.89 
   416        1:n        1:n       1 
   417        2:y        2:y       0.981 
   418        1:n        1:n       0.89 
   419        1:n        1:n       0.89 
   420        1:n        1:n       0.89 
   421        2:y        2:y       0.981 
   422        1:n        1:n       1 
   423        1:n        1:n       0.771 
   424        2:y        1:n   +   0.771 
   425        2:y        1:n   +   0.792 
   426        1:n        1:n       0.89 
   427        1:n        1:n       0.89 
   428        2:y        2:y       0.981 
   429        1:n        1:n       0.89 
   430        1:?        1:n       0.89 
   431        2:y        2:y       0.981 
   432        1:n        1:n       0.89 
   433        2:y        2:y       0.981 
   434        2:y        2:y       0.981 
   435        2:y        2:y       0.981 

